ExampleID	Class	Start	End	Entity
T748	Protein	85348	85371	glucocorticoid receptor
T749	Protein	85940	85944	IL-8
T750	Protein	85949	85983	monocyte chemoattractant protein-1
T751	Protein	86907	86934	tumor necrosis factor alpha
T752	Protein	86936	86944	TNFalpha
T753	Protein	86962	87003	endothelial leukocyte adhesion molecule-1
T754	Protein	87009	87042	vascular cell adhesion molecule-1
T755	Protein	87155	87163	TNFalpha
T756	Protein	87168	87181	tissue factor
T757	Protein	87531	87534	p50
T758	Protein	87535	87538	p65
T759	Protein	87543	87548	c-Rel
T760	Protein	87549	87552	p65
T761	Protein	87601	87604	p65
T762	Protein	87630	87638	TNFalpha
T763	Protein	87666	87669	p65
T764	Protein	87788	87791	p65
T765	Protein	89645	89652	Protein
T766	Protein	89663	89668	c-Akt
T767	Protein	89706	89711	STAT5
T768	Protein	89729	89743	erythropoietin
T769	Protein	89745	89748	EPO
T770	Protein	89811	89814	EPO
T771	Protein	89893	89907	erythropoietin
T772	Protein	89909	89912	EPO
T773	Protein	89918	89934	stem cell factor
T774	Protein	89936	89939	SCF
T775	Protein	89969	89972	PKB
T776	Protein	89973	89976	Akt
T777	Protein	89981	89984	EPO
T778	Protein	90144	90147	EPO
T779	Protein	90229	90232	PKB
T780	Protein	90233	90236	Akt
T781	Protein	90238	90244	STAT5a
T782	Protein	90250	90256	STAT5b
T783	Protein	90277	90280	EPO
T784	Protein	90300	90302	PI
T785	Protein	90349	90352	PKB
T786	Protein	90353	90356	Akt
T787	Protein	90425	90428	PKB
T788	Protein	90429	90432	Akt
T789	Protein	90454	90457	PKB
T790	Protein	90458	90461	Akt
T791	Protein	90598	90601	PKB
T792	Protein	90602	90605	Akt
T793	Protein	90616	90619	PKB
T794	Protein	90620	90623	Akt
T795	Protein	90713	90716	SCF
T796	Protein	90732	90735	PKB
T797	Protein	90736	90739	Akt
T798	Protein	90804	90807	PKB
T799	Protein	90808	90811	PI3
T800	Protein	90916	90921	STAT5
T801	Protein	90983	90987	JAK2
T802	Protein	90991	90995	EPOR
T803	Protein	91049	91052	PKB
T804	Protein	91053	91056	Akt
T805	Protein	91080	91083	EPO
T806	Protein	91225	91248	glucocorticoid receptor
T807	Protein	91335	91358	glucocorticoid receptor
T808	Protein	91360	91362	GR
T809	Protein	91407	91409	GR
T810	Protein	91662	91664	GR
T811	Protein	91958	91960	GR
T812	Protein	92238	92240	GR
T813	Protein	92611	92613	GR
T814	Protein	92838	92886	tumor necrosis factor receptor-associated factor
T815	Protein	92955	92959	LMP1
T816	Protein	93380	93405	latent membrane protein 1
T817	Protein	93407	93411	LMP1
T818	Protein	93818	93823	tumor
T819	Protein	93897	93901	LMP1
T820	Protein	93944	93948	LMP1
T821	Protein	94031	94036	tumor
T822	Protein	94074	94079	TRAF3
T823	Protein	94119	94133	tumor necrosis
T824	Protein	94167	94172	ICAM1
T825	Protein	94207	94212	TRAF3
T826	Protein	94298	94302	LMP1
T827	Protein	94439	94443	CD30
T828	Protein	94455	94460	TRAF3
T829	Protein	94570	94574	LMP1
T830	Protein	94591	94596	TRAF3
T831	Protein	94654	94658	LMP1
T832	Protein	94674	94679	TRAF3
T833	Protein	94697	94701	LMP1
T834	Protein	94710	94714	CD30
T835	Protein	94773	94778	TRAF3
T836	Protein	94901	94910	IFN-gamma
T837	Protein	94933	94937	IL-2
T838	Protein	94942	94947	IL-12
T839	Protein	94975	94991	Interferon-gamma
T840	Protein	94993	95002	IFN-gamma
T841	Protein	95203	95207	IL-2
T842	Protein	95212	95217	IL-12
T843	Protein	95260	95269	IFN-gamma
T844	Protein	95387	95396	IFN-gamma
T845	Protein	95412	95416	IL-2
T846	Protein	95421	95426	IL-12
T847	Protein	95648	95652	IL-2
T848	Protein	95657	95662	IL-12
T849	Protein	95692	95701	IFN-gamma
T850	Protein	95706	95754	granulocyte-macrophage colony-stimulating factor
T851	Protein	95756	95762	GM-CSF
T852	Protein	95837	95841	IL-2
T853	Protein	95846	95851	IL-12
T854	Protein	95883	95892	IFN-gamma
T855	Protein	95897	95903	GM-CSF
T856	Protein	95986	95995	IFN-gamma
T857	Protein	96000	96006	GM-CSF
T858	Protein	96122	96148	transforming growth factor
T859	Protein	96240	96244	IL-2
T860	Protein	96249	96254	IL-12
T861	Protein	96375	96379	IL-2
T862	Protein	96393	96402	IFN-gamma
T863	Protein	96407	96413	GM-CSF
T864	Protein	96445	96450	IL-12
T865	Protein	96464	96473	IFN-gamma
T866	Protein	96577	96603	transforming growth factor
T867	Protein	96668	96672	IL-2
T868	Protein	96677	96682	IL-12
T869	Protein	96872	96876	IL-2
T870	Protein	96885	96890	IL-12
T871	Protein	97034	97043	IFN-gamma
T872	Protein	97048	97054	GM-CSF
T873	Protein	97097	97101	IL-2
T874	Protein	97106	97111	IL-12
T875	Protein	97177	97186	IFN-gamma
T876	Protein	97191	97197	GM-CSF
T877	Protein	97825	97827	FN
T878	Protein	97877	97880	CD3
T879	Protein	97881	97885	IL-2
T880	Protein	97952	97954	IL
T881	Protein	98174	98180	NF-AT1
T882	Protein	98329	98331	FN
T883	Protein	98482	98487	TCF-1
T884	Protein	98570	98581	CD3-epsilon
T885	Protein	98586	98587	T
T886	Protein	98621	98632	CD3-epsilon
T887	Protein	98753	98758	TCF-1
T888	Protein	98836	98847	CD3-epsilon
T889	Protein	98881	98886	TCF-1
T890	Protein	98933	98938	TCF-1
T891	Protein	99072	99077	TCF-1
T892	Protein	99162	99167	TCF-1
T893	Protein	99186	99191	TCF-1
T894	Protein	99268	99273	TCF-1
T895	Protein	99316	99327	CD3-epsilon
T896	Protein	99450	99455	TCF-1
T897	Protein	99522	99527	TCF-1
T898	Protein	99669	99674	TCF-1
T899	Protein	99771	99776	TCF-1
T900	Protein	99843	99844	T
T901	Protein	99981	99992	CD3-epsilon
T902	Protein	100031	100036	TCF-1
T903	Protein	100092	100095	p70
T904	Protein	100258	100271	interleukin-2
T905	Protein	100273	100277	IL-2
T906	Protein	100431	100442	PI 3-kinase
T907	Protein	100474	100475	p
T908	Protein	100488	100490	40
T909	Protein	100805	100808	p70
T910	Protein	100818	100822	IL-2
T911	Protein	100827	100831	PI 3
T912	Protein	100917	100921	IL-2
T913	Protein	100927	100929	PI
T914	Protein	101122	101125	p70
T915	Protein	101285	101288	p70
T916	Protein	101553	101556	p70
T917	Protein	101677	101681	IL-2
T918	Protein	101693	101704	PI 3-kinase
T919	Protein	101710	101713	p70
T920	Protein	102037	102041	PU.1
T921	Protein	102169	102173	PU.1
T922	Protein	102339	102376	granulocyte colony-stimulating factor
T923	Protein	102378	102393	G-CSF) receptor
T924	Protein	102491	102499	AML1/ETO
T925	Protein	102501	102513	PML/RARalpha
T926	Protein	102601	102605	AML1
T927	Protein	102752	102756	AML1
T928	Protein	102757	102760	ETO
T929	Protein	102810	102814	AML1
T930	Protein	102846	102860	M-CSF receptor
T931	Protein	102894	102906	PML/RARalpha
T932	Protein	103668	103671	VDR
T933	Protein	103792	103795	VDR
T934	Protein	104192	104206	24-hydroxylase
T935	Protein	104299	104302	VDR
T936	Protein	104465	104473	monocyte
T937	Protein	104474	104475	1
T938	Protein	104536	104549	mitochondrial
T939	Protein	104987	104990	CD4
T940	Protein	105084	105087	CD4
T941	Protein	105238	105241	CD4
T942	Protein	105374	105380	gp 160
T943	Protein	105484	105489	gp160
T944	Protein	105515	105518	CD4
T945	Protein	105548	105550	gp
T946	Protein	105567	105570	CD4
T947	Protein	105603	105606	CD4
T948	Protein	105656	105661	gp160
T949	Protein	105690	105696	gp 160
T950	Protein	105752	105755	Fos
T951	Protein	105858	105863	gp160
T952	Protein	106120	106125	gp160
T953	Protein	106211	106214	CD4
T954	Protein	106229	106231	gp
T955	Protein	106286	106299	interleukin-2
T956	Protein	106330	106332	gp
T957	Protein	106356	106359	CD4
T958	Protein	106400	106405	gp160
T959	Protein	106409	106412	CD4
T960	Protein	106501	106514	interleukin-3
T961	Protein	106519	106567	granulocyte macrophage colony-stimulating factor
T962	Protein	106632	106645	interleukin-2
T963	Protein	106673	106678	IL-10
T964	Protein	106693	106709	interferon gamma
T965	Protein	106777	106780	CD4
T966	Protein	106832	106837	IL-10
T967	Protein	106926	106930	CD28
T968	Protein	106981	106984	CD4
T969	Protein	107086	107102	interferon gamma
T970	Protein	107109	107112	CD3
T971	Protein	107117	107121	CD28
T972	Protein	107163	107168	IL-10
T973	Protein	107194	107197	CD4
T974	Protein	107249	107253	type
T975	Protein	107408	107411	CD4
T976	Protein	107480	107485	IL-10
T977	Protein	107594	107597	CD4
T978	Protein	107656	107660	IL-6
T979	Protein	107695	107698	CD4
T980	Protein	107713	107717	IL-6
T981	Protein	107726	107731	IL-10
T982	Protein	107755	107771	interferon gamma
T983	Protein	107790	107793	CD4
T984	Protein	107902	107915	suppressor of
T985	Protein	107964	107967	CD4
T986	Protein	108041	108044	CD4
T987	Protein	108106	108111	IL-10
T988	Protein	108169	108174	IL-10
T989	Protein	108218	108224	signal
T990	Protein	108506	108509	PHA
T991	Protein	108799	108802	PHA
T992	Protein	109104	109111	60 mmHg
T993	Protein	109928	109931	THF
T994	Protein	110131	110145	glucocorticoid
T995	Protein	110450	110462	hyperkalemia
T996	Protein	110474	110477	PHA
T997	Protein	110641	110644	PHA
T998	Protein	110861	110864	THF
T999	Protein	110869	110878	alpha THF
T1000	Protein	110984	110988	PU.1
T1001	Protein	110990	110995	Spi-1
T1002	Protein	111001	111012	C/EBP alpha
T1003	Protein	111040	111103	granulocyte-macrophage colony-stimulating factor receptor alpha
T1004	Protein	111384	111432	granulocyte-macrophage colony-stimulating factor
T1005	Protein	111434	111456	GM-CSF) receptor alpha
T1006	Protein	111499	111520	GM-CSF receptor alpha
T1007	Protein	111706	111727	GM-CSF receptor alpha
T1008	Protein	111921	111925	PU.1
T1009	Protein	112029	112033	PU.1
T1010	Protein	112120	112141	GM-CSF receptor alpha
T1011	Protein	112161	112172	C/EBP alpha
T1012	Protein	112186	112191	CCAAT
T1013	Protein	112316	112320	PU.1
T1014	Protein	112431	112452	GM-CSF receptor alpha
T1015	Protein	112566	112570	PU.1
T1016	Protein	112627	112632	PU-SF
T1017	Protein	112651	112672	GM-CSF receptor alpha
T1018	Protein	112682	112686	PU.1
T1019	Protein	112756	112760	PU.1
T1020	Protein	112774	112778	PU.1
T1021	Protein	112923	112927	PU.1
T1022	Protein	112996	113000	PU.1
T1023	Protein	113109	113111	PU
T1024	Protein	113132	113136	PU.1
T1025	Protein	113220	113224	PU.1
T1026	Protein	113282	113286	PU.1
T1027	Protein	113324	113345	GM-CSF receptor alpha
T1028	Protein	113397	113401	PU.1
T1029	Protein	113435	113437	PU
T1030	Protein	113594	113615	GM-CSF receptor alpha
T1031	Protein	113655	113666	C/EBP alpha
T1032	Protein	113687	113708	GM-CSF receptor alpha
T1033	Protein	113848	113853	beta-
T1034	Protein	114357	114363	NFIL-6
T1035	Protein	114369	114374	NFAT-
T1036	Protein	114727	114731	IL-8
T1037	Protein	114736	114742	IL-1RA
T1038	Protein	114851	114855	IL-8
T1039	Protein	114870	114874	IL-1
T1040	Protein	115008	115016	ppaB p65
T1041	Protein	115043	115046	p50
T1042	Protein	115081	115085	IL-8
T1043	Protein	115176	115180	IL-8
T1044	Protein	115269	115272	p65
T1045	Protein	115322	115324	GP
T1046	Protein	115334	115338	IL-8
T1047	Protein	115368	115372	IL-8
T1048	Protein	115439	115447	ppaB p65
T1049	Protein	115452	115458	NFIL-6
T1050	Protein	115470	115476	NFATc2
T1051	Protein	115498	115501	IL-
T1052	Protein	115544	115547	IL-
T1053	Protein	115581	115599	preferentially p65
T1054	Protein	115675	115683	TNFalpha
T1055	Protein	115688	115696	IL-1beta
T1056	Protein	115887	115893	TSST-1
T1057	Protein	115927	115935	IL-1beta
T1058	Protein	115961	115967	IL-1RA
T1059	Protein	116042	116048	IL-1RA
T1060	Protein	116338	116344	IL-1RA
T1061	Protein	116379	116380	3
T1062	Protein	116385	116391	NFIL-6
T1063	Protein	116537	116545	IFNgamma
T1064	Protein	116547	116551	IL-6
T1065	Protein	116556	116562	IL-1RA
T1066	Protein	116621	116627	NFIL-6
T1067	Protein	116682	116688	IL-1RA
T1068	Protein	116847	116853	IL-1RA
T1069	Protein	116961	116967	IL-1RA
T1070	Protein	117072	117076	IL-8
T1071	Protein	117085	117091	IL-1RA
T1072	Protein	117215	117221	TSST-1
T1073	Protein	117300	117306	TSST-1
T1074	Protein	117361	117381	Toll-like receptor 4
T1075	Protein	117490	117498	TNFalpha
T1076	Protein	117535	117541	TSST-1
T1077	Protein	117650	117658	IFNgamma
T1078	Protein	117663	117671	TNFalpha
T1079	Protein	117806	117810	IL-8
T1080	Protein	117837	117843	IL-1RA
T1081	Protein	118057	118059	GP
T1082	Protein	118117	118123	TSST-1
T1083	Protein	118126	118128	GP
T1084	Protein	118266	118268	GP
T1085	Protein	118281	118287	TSST-1
T1086	Protein	118296	118304	IL-1beta
T1087	Protein	118305	118311	IL-1RA
T1088	Protein	118385	118393	IL-1beta
T1089	Protein	118398	118402	IL-6
T1090	Protein	118539	118545	TSST-1
T1091	Protein	118575	118581	NFIL-6
T1092	Protein	118639	118643	IL-8
T1093	Protein	118648	118654	IL-1RA
T1094	Protein	118679	118687	TNFalpha
T1095	Protein	118689	118697	IL-1beta
T1096	Protein	118699	118703	IL-6
T1097	Protein	118707	118715	IFNgamma
T1098	Protein	118757	118763	TSST-1
T1099	Protein	118810	118818	TNFalpha
T1100	Protein	118890	118896	TSST-1
T1101	Protein	118905	118911	IL-1RA
T1102	Protein	119017	119023	IL-1RA
T1103	Protein	119045	119051	TSST-1
T1104	Protein	119102	119108	TSST-1
T1105	Protein	119186	119188	GP
T1106	Protein	119262	119267	TSST-
T1107	Protein	119310	119318	TNFalpha
T1108	Protein	119405	119411	IL-1RA
T1109	Protein	119615	119623	TNFalpha
T1110	Protein	119632	119638	IL-1RA
T1111	Protein	119653	119662	NFkappaB3
T1112	Protein	119667	119671	IL-1
T1113	Protein	119742	119750	TNFalpha
T1114	Protein	119945	119951	IL-1RA
T1115	Protein	120159	120165	TSST-1
T1116	Protein	120340	120342	GP
T1117	Protein	120365	120371	TSST-1
T1118	Protein	120442	120448	NFIL-6
T1119	Protein	120546	120552	TSST-1
T1120	Protein	120561	120567	IL-1RA
T1121	Protein	120677	120685	IL-1beta
T1122	Protein	120686	120692	IL-1RA
T1123	Protein	120709	120711	GP
T1124	Protein	120714	120720	TSST-1
T1125	Protein	120805	120811	IL-1RA
T1126	Protein	120817	120825	IL-1beta
T1127	Protein	120866	120870	IL-1
T1128	Protein	120900	120908	IL-1beta
T1129	Protein	120909	120915	IL-1RA
T1130	Protein	120932	120934	GP
T1131	Protein	120937	120943	TSST-1
T1132	Protein	121011	121031	IL-1beta bioactivity
T1133	Protein	121085	121091	TSST-1
T1134	Protein	121101	121105	IL-1
T1135	Protein	121116	121120	IL-2
T1136	Protein	121369	121375	TSST-1
T1137	Protein	121385	121391	TSST-1
T1138	Protein	121625	121633	IL-1beta
T1139	Protein	122026	122039	peptidoglycan
T1140	Protein	122252	122282	interferon regulatory factor-1
T1141	Protein	122884	122889	IRF-1
T1142	Protein	122894	122899	IRF-2
T1143	Protein	123064	123069	IRF-1
T1144	Protein	123113	123118	IRF-2
T1145	Protein	123245	123250	IRF-1
T1146	Protein	123381	123386	IRF-1
T1147	Protein	123426	123435	IFN-gamma
T1148	Protein	123498	123519	signal transducer and
T1149	Protein	123629	123634	IRF-1
T1150	Protein	123683	123688	IRF-1
T1151	Protein	124202	124205	SCL
T1152	Protein	124207	124212	TAL-2
T1153	Protein	124414	124417	SCL
T1154	Protein	124481	124484	SCL
T1155	Protein	124579	124585	GATA-1
T1156	Protein	124642	124645	SCL
T1157	Protein	124650	124656	GATA-1
T1158	Protein	124870	124873	SCL
T1159	Protein	124935	124941	GATA-1
T1160	Protein	124943	124946	SCL
T1161	Protein	125012	125015	SCL
T1162	Protein	125108	125111	CBP
T1163	Protein	125128	125131	Raf
T1164	Protein	125132	125135	Rac
T1165	Protein	125393	125396	CBP
T1166	Protein	125397	125401	p300
T1167	Protein	125497	125501	TAD-
T1168	Protein	125556	125561	c-Jun
T1169	Protein	125563	125567	TAD-
T1170	Protein	125663	125666	CBP
T1171	Protein	125667	125671	p300
T1172	Protein	125705	125710	c-Raf
T1173	Protein	125715	125718	Rac
T1174	Protein	125747	125750	CBP
T1175	Protein	125751	125755	p300
T1176	Protein	125777	125781	TAD-
T1177	Protein	125827	125831	p300
T1178	Protein	125907	125910	CBP
T1179	Protein	125968	125971	CBP
T1180	Protein	125997	126000	CBP
T1181	Protein	126001	126005	p300
T1182	Protein	126103	126107	CD40
T1183	Protein	126233	126237	RelB
T1184	Protein	126281	126285	CD40
T1185	Protein	126446	126450	CD40
T1186	Protein	126475	126479	CD40
T1187	Protein	126561	126572	beta-globin
T1188	Protein	126712	126716	CD40
T1189	Protein	126795	126799	RelB
T1190	Protein	126825	126830	c-Rel
T1191	Protein	126906	126910	RelB
T1192	Protein	126915	126920	c-Rel
T1193	Protein	126953	126957	RelB
T1194	Protein	127006	127010	CD40
T1195	Protein	127080	127088	RelB RNA
T1196	Protein	127141	127145	CD40
T1197	Protein	127194	127197	p50
T1198	Protein	127198	127201	p65
T1199	Protein	127228	127232	RelB
T1200	Protein	127239	127243	CD40
T1201	Protein	127330	127334	RelB
T1202	Protein	127352	127356	CD40
T1203	Protein	127414	127418	CD40
T1204	Protein	127534	127538	RelB
T1205	Protein	127587	127591	RelB
T1206	Protein	127593	127597	CD40
T1207	Protein	127727	127741	Interleukin 12
T1208	Protein	127793	127798	STAT4
T1209	Protein	127823	127837	Interleukin 12
T1210	Protein	127839	127844	IL-12
T1211	Protein	128046	128051	IL-12
T1212	Protein	128203	128208	IL-12
T1213	Protein	128502	128507	IL-12
T1214	Protein	128586	128591	STAT4
T1215	Protein	128607	128612	STAT4
T1216	Protein	128685	128690	IL-12
T1217	Protein	128838	128843	STAT4
T1218	Protein	128889	128892	JAK
T1219	Protein	128912	128917	IL-12
T1220	Protein	128982	128987	IL-12
T1221	Protein	129196	129208	interleukin-
T1222	Protein	129321	129325	IL-2
T1223	Protein	129700	129704	IL-2
T1224	Protein	129830	129846	interferon-gamma
T1225	Protein	130006	130008	IL
T1226	Protein	130130	130134	IL-2
T1227	Protein	130226	130229	p84
T1228	Protein	130329	130333	IL-2
T1229	Protein	130503	130507	CD33
T1230	Protein	130510	130514	CD56
T1231	Protein	130517	130521	CD16
T1232	Protein	131010	131014	CD33
T1233	Protein	131017	131021	CD56
T1234	Protein	131024	131029	CD11a
T1235	Protein	131032	131036	CD13
T1236	Protein	131040	131044	CD15
T1237	Protein	131048	131052	CD34
T1238	Protein	131066	131070	CD16
T1239	Protein	131146	131150	CD33
T1240	Protein	131158	131162	CD15
T1241	Protein	131188	131192	CD56
T1242	Protein	131315	131319	CD56
T1243	Protein	131401	131404	CD4
T1244	Protein	131424	131426	CD
T1245	Protein	131429	131432	CD3
T1246	Protein	131437	131440	CD8
T1247	Protein	131537	131542	delta
T1248	Protein	131749	131777	myeloperoxidase cytochemical
T1249	Protein	132038	132047	RAR alpha
T1250	Protein	132278	132287	RAR alpha
T1251	Protein	132668	132672	CD33
T1252	Protein	132675	132679	CD56
T1253	Protein	132682	132686	CD16
T1254	Protein	132715	132719	CD56
T1255	Protein	132722	132726	CD16
T1256	Protein	132846	132850	CD56
T1257	Protein	132853	132857	CD33
T1258	Protein	132860	132864	CD16
T1259	Protein	133321	133326	NFATp
T1260	Protein	133354	133381	tumor necrosis factor-alpha
T1261	Protein	133408	133435	tumor necrosis factor-alpha
T1262	Protein	133437	133446	TNF alpha
T1263	Protein	133598	133607	TNF alpha
T1264	Protein	133894	133903	TNF alpha
T1265	Protein	133993	133998	NFATp
T1266	Protein	134057	134070	interleukin-2
T1267	Protein	134091	134096	NFATp
T1268	Protein	134188	134197	TNF alpha
T1269	Protein	134289	134294	NFATp
T1270	Protein	134421	134426	NFATp
T1271	Protein	134447	134452	NFATp
T1272	Protein	134495	134506	interleukin
T1273	Protein	134513	134522	TNF alpha
T1274	Protein	134701	134706	TCF-1
T1275	Protein	134823	134828	TCF-1
T1276	Protein	134952	134957	TCF-1
T1277	Protein	135270	135275	TCF-1
T1278	Protein	135302	135307	TCF-1
T1279	Protein	135484	135489	TCF-1
T1280	Protein	135541	135544	CD3
T1281	Protein	135706	135711	TCF-1
T1282	Protein	135941	135946	TCF-1
T1283	Protein	135996	136001	Tcf-1
T1284	Protein	136067	136072	TCF-1
T1285	Protein	136352	136356	CD40
T1286	Protein	136415	136419	CD40
T1287	Protein	136548	136552	CD40
T1288	Protein	136872	136876	CD40
T1289	Protein	137552	137555	p65
T1290	Protein	137557	137561	RelA
T1291	Protein	137567	137572	c-Rel
T1292	Protein	137864	137868	CD40
T1293	Protein	137900	137904	IL-6
T1294	Protein	137914	137919	STAT3
T1295	Protein	137954	137959	IL-10
T1296	Protein	137977	137980	CD4
T1297	Protein	137991	137996	STAT3
T1298	Protein	138059	138062	IL-
T1299	Protein	138085	138089	IL-6
T1300	Protein	138091	138096	IL-11
T1301	Protein	138098	138106	leukemia
T1302	Protein	138130	138142	oncostatin M
T1303	Protein	138181	138197	epidermal growth
T1304	Protein	138221	138226	IL-10
T1305	Protein	138276	138280	IL-6
T1306	Protein	138362	138367	STAT3
T1307	Protein	138401	138405	IL-6
T1308	Protein	138536	138539	CD4
T1309	Protein	138575	138579	IL-6
T1310	Protein	138641	138646	STAT3
T1311	Protein	138676	138681	IL-10
T1312	Protein	138712	138717	STAT1
T1313	Protein	138722	138727	STAT3
T1314	Protein	138761	138765	IL-6
T1315	Protein	138776	138779	CD4
T1316	Protein	138859	138862	CD4
T1317	Protein	138990	138994	IL-6
T1318	Protein	139145	139150	STAT3
T1319	Protein	139159	139164	STAT1
T1320	Protein	139175	139180	STAT3
T1321	Protein	139234	139238	IL-6
T1322	Protein	139287	139291	IL-6
T1323	Protein	139308	139313	STAT3
T1324	Protein	139385	139390	STAT1
T1325	Protein	139458	139462	IL-6
T1326	Protein	139483	139488	STAT1
T1327	Protein	139517	139522	STAT3
T1328	Protein	139557	139562	STAT1
T1329	Protein	139628	139632	IL-6
T1330	Protein	139662	139667	IL-10
T1331	Protein	139679	139688	IFN-gamma
T1332	Protein	139703	139706	CD4
T1333	Protein	139762	139766	IL-6
T1334	Protein	139788	139791	CD4
T1335	Protein	139820	139823	CD3
T1336	Protein	139828	139832	CD28
T1337	Protein	139885	139890	IL-10
T1338	Protein	139913	139922	IFN-gamma
T1339	Protein	139957	139961	IL-6
T1340	Protein	139999	140004	IL-10
T1341	Protein	140028	140037	IFN-gamma
T1342	Protein	140099	140103	IL-6
T1343	Protein	140144	140149	IL-10
T1344	Protein	140224	140228	IL-6
T1345	Protein	140270	140275	STAT3
T1346	Protein	140334	140339	IL-10
T1347	Protein	140346	140349	CD4
T1348	Protein	140443	140447	IL-2
T1349	Protein	140710	140713	IL-
T1350	Protein	140742	140759	IL-2R alpha-chain
T1351	Protein	140799	140803	IL-2
T1352	Protein	140842	140846	IL-2
T1353	Protein	140906	140909	the
T1354	Protein	140926	140931	M-CSF
T1355	Protein	140973	140978	M-CSF
T1356	Protein	141077	141081	IL-2
T1357	Protein	141181	141186	M-CSF
T1358	Protein	141231	141236	M-CSF
T1359	Protein	141245	141249	IL-2
T1360	Protein	141402	141407	M-CSF
T1361	Protein	141578	141582	IL-2
T1362	Protein	141722	141726	IL-2
T1363	Protein	141754	141759	M-CSF
T1364	Protein	142004	142007	EF1
T1365	Protein	142066	142069	EF1
T1366	Protein	142254	142257	EF1
T1367	Protein	142353	142356	EF1
T1368	Protein	142631	142637	p21ras
T1369	Protein	143077	143113	interleukin 2 receptor alpha subunit
T1370	Protein	143344	143350	p21ras
T1371	Protein	143450	143454	IL-2
T1372	Protein	143472	143477	c-fos
T1373	Protein	143837	143843	p21ras
T1374	Protein	143917	143920	PEA
T1375	Protein	143929	143933	PEA3
T1376	Protein	143935	143940	Oct-2
T1377	Protein	143953	143956	CD4
T1378	Protein	143989	143992	CD4
T1379	Protein	144139	144142	CD4
T1380	Protein	144693	144710	CD4-phycoerythrin
T1381	Protein	145049	145052	CD4
T1382	Protein	145146	145151	IL-17
T1383	Protein	145246	145249	CD3
T1384	Protein	145260	145264	CD28
T1385	Protein	145266	145280	concanavalin A
T1386	Protein	145282	145285	PHA
T1387	Protein	145290	145295	IL-15
T1388	Protein	145326	145331	IL-17
T1389	Protein	145455	145460	IL-17
T1390	Protein	145534	145537	CD3
T1391	Protein	145548	145552	CD28
T1392	Protein	145554	145558	lane
T1393	Protein	145720	145723	p65
T1394	Protein	145728	145731	p50
T1395	Protein	145755	145760	c-Rel
T1396	Protein	145864	145867	CD3
T1397	Protein	145878	145882	CD28
T1398	Protein	146152	146157	IL-17
T1399	Protein	146199	146212	IkappaB-alpha
T1400	Protein	146249	146262	IkappaB-alpha
T1401	Protein	146385	146388	CD3
T1402	Protein	146399	146403	CD28
T1403	Protein	146498	146503	IL-17
T1404	Protein	146560	146570	C/EBP beta
T1405	Protein	146797	146807	C/EBP beta
T1406	Protein	146809	146816	NF-IL-6
T1407	Protein	146939	146949	C/EBP beta
T1408	Protein	147063	147073	C/EBP beta
T1409	Protein	147582	147592	C/EBP beta
T1410	Protein	147741	147751	C/EBP beta
T1411	Protein	147769	147770	C
T1412	Protein	147888	147898	C/EBP beta
T1413	Protein	148056	148066	C/EBP beta
T1414	Protein	148100	148110	C/EBP beta
T1415	Protein	148279	148289	C/EBP beta
T1416	Protein	148493	148503	C/EBP beta
T1417	Protein	148534	148544	C/EBP beta
T1418	Protein	148618	148628	C/EBP beta
T1419	Protein	148773	148775	GP
T1420	Protein	148804	148812	NFkappaB
T1421	Protein	148817	148821	NFIL
T1422	Protein	148983	148989	NFIL-6
T1423	Protein	148993	149001	NFkappaB
T1424	Protein	149050	149058	IFNgamma
T1425	Protein	149060	149068	TNFalpha
T1426	Protein	149070	149074	IL-6
T1427	Protein	149079	149082	IL-
T1428	Protein	149198	149204	NFIL-6
T1429	Protein	149324	149337	NFkappaB-IL-8
T1430	Protein	149347	149350	p65
T1431	Protein	149356	149357	p
T1432	Protein	149495	149501	TSST-1
T1433	Protein	149515	149521	TSST-1
T1434	Protein	149523	149525	GP
T1435	Protein	149530	149536	TSST-1
T1436	Protein	149537	149539	GP
T1437	Protein	149593	149599	TSST-1
T1438	Protein	149601	149603	GP
T1439	Protein	149615	149617	GP
T1440	Protein	149620	149626	TSST-1
T1441	Protein	149631	149633	GP
T1442	Protein	149791	149793	GP
T1443	Protein	149813	149817	TSST
T1444	Protein	149926	149932	TSST-1
T1445	Protein	150412	150415	Sp1
T1446	Protein	150747	150750	Sp1
T1447	Protein	150988	150991	Sp1
T1448	Protein	151021	151025	TATA
T1449	Protein	151440	151443	Tat
T1450	Protein	151608	151611	Akt
T1451	Protein	151643	151648	IL-17
T1452	Protein	151668	151671	CD3
T1453	Protein	151768	151771	Akt
T1454	Protein	151847	151850	CD3
T1455	Protein	151932	151935	Akt
T1456	Protein	152002	152005	Akt
T1457	Protein	152158	152161	Akt
T1458	Protein	152166	152176	beta-actin
T1459	Protein	152227	152230	PHA
T1460	Protein	152232	152244	concanavalin
T1461	Protein	152251	152256	IL-15
T1462	Protein	152309	152312	Akt
T1463	Protein	152332	152335	CD3
T1464	Protein	152429	152454	Latent membrane protein 1
T1465	Protein	152492	152496	JAK3
T1466	Protein	152528	152553	Latent membrane protein 1
T1467	Protein	152555	152559	LMP1
T1468	Protein	152792	152796	LMP1
T1469	Protein	153036	153040	LMP1
T1470	Protein	153088	153102	Janus kinase 3
T1471	Protein	153104	153108	JAK3
T1472	Protein	153130	153134	LMP1
